decay,time
40000, 1737671067
40000, 1737671068
1720, 1737671068
180, 1737671068
3780, 1737671068
60, 1737671068
2020, 1737671068
440, 1737671068
3480, 1737671068
40017, 1737671069
2220, 1737671069
3680, 1737671069
520, 1737671069
1980, 1737671069
1000, 1737671069
40016, 1737671070
680, 1737671070
940, 1737671070
300, 1737671070
1940, 1737671070
960, 1737671070
40, 1737671071
40016, 1737671071
620, 1737671071
1300, 1737671071
40017, 1737671072
5960, 1737671072
520, 1737671072
940, 1737671072
60, 1737671072
700, 1737671073
40015, 1737671073
340, 1737671073
2300, 1737671073
1100, 1737671073
40016, 1737671074
1660, 1737671074
10340, 1737671074
1100, 1737671074
1280, 1737671074
40016, 1737671075
3200, 1737671075
2960, 1737671076
40016, 1737671076
2460, 1737671076
1320, 1737671076
560, 1737671076
3580, 1737671076
2540, 1737671076
4140, 1737671076
60, 1737671076
2340, 1737671077
40015, 1737671077
100, 1737671077
4060, 1737671077
3340, 1737671077
480, 1737671077
540, 1737671077
1580, 1737671078
40015, 1737671078
1680, 1737671078
6440, 1737671078
940, 1737671078
4300, 1737671078
40016, 1737671079
1160, 1737671079
1000, 1737671079
380, 1737671079
2920, 1737671079
5060, 1737671079
500, 1737671079
1960, 1737671079
1540, 1737671079
40015, 1737671080
640, 1737671080
400, 1737671080
2260, 1737671080
1840, 1737671081
40016, 1737671081
100, 1737671081
2480, 1737671081
3940, 1737671082
40016, 1737671082
2940, 1737671082
320, 1737671082
2080, 1737671083
40016, 1737671083
260, 1737671083
3700, 1737671083
1420, 1737671084
40016, 1737671084
3100, 1737671084
1460, 1737671084
2720, 1737671084
140, 1737671084
1800, 1737671085
40016, 1737671085
12080, 1737671085
540, 1737671085
1840, 1737671085
780, 1737671085
1300, 1737671085
40016, 1737671086
60, 1737671086
1560, 1737671086
940, 1737671086
2940, 1737671086
720, 1737671086
480, 1737671087
40016, 1737671087
440, 1737671087
3620, 1737671087
2620, 1737671087
3680, 1737671088
40016, 1737671088
500, 1737671088
4880, 1737671088
2280, 1737671088
1500, 1737671088
3000, 1737671089
40015, 1737671089
380, 1737671089
5160, 1737671089
5560, 1737671089
2760, 1737671089
1240, 1737671089
700, 1737671089
2140, 1737671090
40015, 1737671090
1120, 1737671090
40017, 1737671091
2600, 1737671091
1820, 1737671091
2560, 1737671091
2600, 1737671092
40015, 1737671092
2060, 1737671092
180, 1737671092
9260, 1737671092
2940, 1737671092
13740, 1737671093
900, 1737671093
40015, 1737671093
200, 1737671093
3020, 1737671093
3320, 1737671094
2120, 1737671094
1200, 1737671094
1120, 1737671094
40016, 1737671094
2740, 1737671094
780, 1737671094
1600, 1737671094
740, 1737671094
8420, 1737671095
40015, 1737671095
2120, 1737671095
620, 1737671095
9040, 1737671095
40016, 1737671096
360, 1737671096
200, 1737671096
1520, 1737671097
40016, 1737671097
460, 1737671097
440, 1737671097
740, 1737671097
4040, 1737671098
940, 1737671098
40016, 1737671098
160, 1737671098
300, 1737671098
40015, 1737671099
100, 1737671099
4900, 1737671099
240, 1737671099
400, 1737671099
2380, 1737671100
180, 1737671100
40016, 1737671100
1500, 1737671100
4180, 1737671100
2000, 1737671100
3740, 1737671100
860, 1737671100
2460, 1737671101
1160, 1737671101
40016, 1737671101
3400, 1737671101
1480, 1737671101
580, 1737671102
40015, 1737671102
120, 1737671102
2880, 1737671102
0, 1737671103
300, 1737671103
40016, 1737671103
300, 1737671103
500, 1737671103
420, 1737671103
220, 1737671103
540, 1737671104
140, 1737671104
40016, 1737671104
580, 1737671104
2200, 1737671104
5700, 1737671104
160, 1737671104
1160, 1737671104
420, 1737671105
20, 1737671105
40014, 1737671105
2880, 1737671105
2440, 1737671105
460, 1737671106
3060, 1737671106
40016, 1737671106
320, 1737671106
1340, 1737671106
3740, 1737671107
5020, 1737671107
4320, 1737671107
4840, 1737671107
40016, 1737671107
3880, 1737671107
260, 1737671108
40016, 1737671108
2480, 1737671109
1420, 1737671109
40016, 1737671109
420, 1737671109
3420, 1737671110
360, 1737671110
40015, 1737671110
340, 1737671110
40016, 1737671111
1180, 1737671112
960, 1737671112
900, 1737671112
80, 1737671112
40016, 1737671112
2320, 1737671112
9000, 1737671112
900, 1737671112
8340, 1737671113
4580, 1737671113
400, 1737671113
40016, 1737671113
3320, 1737671113
2420, 1737671113
3580, 1737671114
1000, 1737671114
40015, 1737671114
2640, 1737671114
1340, 1737671114
420, 1737671114
3740, 1737671115
560, 1737671115
40016, 1737671115
8700, 1737671115
120, 1737671115
5300, 1737671115
1020, 1737671115
520, 1737671116
1120, 1737671116
400, 1737671116
40015, 1737671116
10560, 1737671116
2340, 1737671116
3260, 1737671116
100, 1737671116
1060, 1737671117
3340, 1737671117
9020, 1737671117
900, 1737671117
40015, 1737671117
2060, 1737671117
40016, 1737671118
6680, 1737671118
1140, 1737671118
6280, 1737671119
11560, 1737671119
500, 1737671119
40015, 1737671119
2080, 1737671119
3480, 1737671119
1120, 1737671119
220, 1737671120
40015, 1737671120
2040, 1737671120
1380, 1737671120
3320, 1737671121
40017, 1737671121
240, 1737671121
680, 1737671122
1600, 1737671122
2660, 1737671122
40015, 1737671122
200, 1737671122
10900, 1737671122
140, 1737671122
180, 1737671123
2500, 1737671123
640, 1737671123
2300, 1737671123
40016, 1737671123
3720, 1737671123
1300, 1737671123
540, 1737671124
1500, 1737671124
40015, 1737671124
240, 1737671124
720, 1737671124
860, 1737671124
360, 1737671124
80, 1737671124
3200, 1737671125
40016, 1737671125
960, 1737671125
1800, 1737671125
1000, 1737671126
3000, 1737671126
40015, 1737671126
200, 1737671126
2320, 1737671126
2020, 1737671126
40, 1737671127
1740, 1737671127
40016, 1737671127
2340, 1737671127
2660, 1737671127
2160, 1737671128
2740, 1737671128
800, 1737671128
40015, 1737671128
3720, 1737671128
880, 1737671128
4440, 1737671129
740, 1737671129
740, 1737671129
40015, 1737671129
1920, 1737671129
660, 1737671129
2880, 1737671130
7760, 1737671130
2880, 1737671130
40015, 1737671130
1520, 1737671130
1520, 1737671130
2440, 1737671131
3720, 1737671131
40016, 1737671131
2500, 1737671131
160, 1737671132
440, 1737671132
160, 1737671132
2620, 1737671132
40016, 1737671132
8380, 1737671132
720, 1737671133
200, 1737671133
40016, 1737671133
1780, 1737671133
620, 1737671133
1880, 1737671133
5020, 1737671134
180, 1737671134
1160, 1737671134
4100, 1737671134
1700, 1737671134
40016, 1737671134
1980, 1737671134
80, 1737671135
14980, 1737671135
4120, 1737671135
40015, 1737671135
20, 1737671136
1600, 1737671136
780, 1737671136
2080, 1737671136
2180, 1737671136
1660, 1737671136
40015, 1737671136
3040, 1737671136
820, 1737671137
400, 1737671137
40016, 1737671137
920, 1737671137
2180, 1737671137
220, 1737671137
400, 1737671137
40015, 1737671138
900, 1737671138
40016, 1737671139
660, 1737671140
2580, 1737671140
40016, 1737671140
1540, 1737671140
920, 1737671141
3700, 1737671141
3160, 1737671141
3460, 1737671141
2060, 1737671141
4900, 1737671141
40015, 1737671141
2100, 1737671141
120, 1737671142
620, 1737671142
6460, 1737671142
3480, 1737671142
40016, 1737671142
840, 1737671142
840, 1737671142
4140, 1737671143
720, 1737671143
40016, 1737671143
1040, 1737671144
1580, 1737671144
180, 1737671144
40016, 1737671144
240, 1737671145
40017, 1737671145
1380, 1737671145
760, 1737671145
4740, 1737671146
2240, 1737671146
820, 1737671146
2420, 1737671146
1040, 1737671146
40015, 1737671146
2940, 1737671146
420, 1737671147
1620, 1737671147
5100, 1737671147
40016, 1737671147
140, 1737671147
220, 1737671148
5080, 1737671148
40016, 1737671148
820, 1737671148
800, 1737671148
80, 1737671149
4200, 1737671149
7300, 1737671149
840, 1737671149
1380, 1737671149
1720, 1737671149
260, 1737671149
2240, 1737671149
1540, 1737671149
40013, 1737671149
520, 1737671150
2120, 1737671150
1600, 1737671150
2320, 1737671150
2520, 1737671150
1300, 1737671150
40016, 1737671150
860, 1737671150
220, 1737671150
440, 1737671151
2840, 1737671151
40016, 1737671151
9400, 1737671151
80, 1737671152
3780, 1737671152
6400, 1737671152
60, 1737671152
6180, 1737671152
2840, 1737671152
3560, 1737671152
40014, 1737671152
1180, 1737671153
2100, 1737671153
40016, 1737671153
120, 1737671154
720, 1737671154
560, 1737671154
660, 1737671154
400, 1737671154
40016, 1737671154
460, 1737671154
1320, 1737671155
1200, 1737671155
180, 1737671155
4820, 1737671155
40016, 1737671155
4140, 1737671155
40, 1737671156
2540, 1737671156
2280, 1737671156
3340, 1737671156
2200, 1737671156
1780, 1737671156
8480, 1737671156
540, 1737671156
40014, 1737671156
1900, 1737671157
540, 1737671157
13120, 1737671157
2340, 1737671157
560, 1737671157
40016, 1737671157
3060, 1737671158
100, 1737671158
20, 1737671158
3220, 1737671158
7020, 1737671158
40015, 1737671158
700, 1737671158
440, 1737671159
3000, 1737671159
820, 1737671159
40016, 1737671159
720, 1737671160
500, 1737671160
300, 1737671160
2780, 1737671160
40016, 1737671160
3720, 1737671161
1980, 1737671161
980, 1737671161
260, 1737671161
40016, 1737671161
1940, 1737671162
1960, 1737671162
8780, 1737671162
1340, 1737671162
2240, 1737671162
3320, 1737671162
40015, 1737671162
7040, 1737671163
1860, 1737671163
720, 1737671163
40016, 1737671163
580, 1737671163
1180, 1737671164
1320, 1737671164
14740, 1737671164
7760, 1737671164
180, 1737671164
660, 1737671164
2980, 1737671164
40015, 1737671164
1340, 1737671165
20, 1737671165
40017, 1737671165
80, 1737671166
2180, 1737671166
40015, 1737671166
1700, 1737671167
220, 1737671167
2300, 1737671167
40016, 1737671167
2520, 1737671168
100, 1737671168
820, 1737671168
1100, 1737671168
1520, 1737671168
1800, 1737671168
1720, 1737671168
40016, 1737671169
540, 1737671169
480, 1737671169
2600, 1737671169
1320, 1737671169
6820, 1737671169
2400, 1737671169
1160, 1737671169
40016, 1737671170
10160, 1737671170
460, 1737671170
2500, 1737671170
5580, 1737671170
2560, 1737671170
920, 1737671170
3540, 1737671170
40015, 1737671171
3760, 1737671171
1400, 1737671171
5700, 1737671171
1180, 1737671171
100, 1737671171
1180, 1737671172
40015, 1737671172
1340, 1737671172
2640, 1737671172
4580, 1737671172
2840, 1737671172
1760, 1737671172
480, 1737671173
40015, 1737671173
1200, 1737671173
1840, 1737671173
2120, 1737671173
200, 1737671173
1140, 1737671173
1760, 1737671173
40016, 1737671174
160, 1737671174
1260, 1737671174
3760, 1737671174
340, 1737671174
40016, 1737671175
1720, 1737671175
4200, 1737671175
7960, 1737671175
320, 1737671175
6480, 1737671175
40015, 1737671176
1020, 1737671176
2160, 1737671176
4960, 1737671176
5200, 1737671177
40016, 1737671177
5540, 1737671177
400, 1737671177
1060, 1737671177
5220, 1737671177
560, 1737671177
40015, 1737671178
4520, 1737671178
1740, 1737671178
1680, 1737671178
1540, 1737671178
40015, 1737671179
1980, 1737671179
2100, 1737671179
1220, 1737671179
380, 1737671179
340, 1737671179
2840, 1737671179
40015, 1737671180
620, 1737671180
320, 1737671180
3140, 1737671180
5440, 1737671180
580, 1737671180
5800, 1737671180
40015, 1737671181
380, 1737671181
1420, 1737671181
1020, 1737671181
1000, 1737671181
2680, 1737671181
1040, 1737671182
40016, 1737671182
40, 1737671182
2520, 1737671182
300, 1737671182
40016, 1737671183
160, 1737671183
200, 1737671183
40016, 1737671184
6060, 1737671184
7200, 1737671184
840, 1737671184
14780, 1737671185
3220, 1737671185
40016, 1737671185
4260, 1737671185
2360, 1737671185
840, 1737671185
1880, 1737671185
500, 1737671185
1000, 1737671186
2340, 1737671186
40016, 1737671186
2300, 1737671186
40015, 1737671187
960, 1737671187
10840, 1737671187
40016, 1737671188
5180, 1737671188
2700, 1737671188
3440, 1737671188
40016, 1737671189
2160, 1737671189
8620, 1737671189
20, 1737671189
12120, 1737671189
40016, 1737671190
40017, 1737671191
6280, 1737671191
2660, 1737671191
320, 1737671191
40015, 1737671192
4400, 1737671192
1300, 1737671192
40, 1737671193
1020, 1737671193
40016, 1737671193
2700, 1737671193
1060, 1737671193
280, 1737671193
1280, 1737671193
1280, 1737671193
3240, 1737671193
7220, 1737671194
40015, 1737671194
1600, 1737671194
3080, 1737671194
40016, 1737671195
4540, 1737671195
7280, 1737671195
4300, 1737671195
40016, 1737671196
1140, 1737671196
2360, 1737671196
460, 1737671197
2280, 1737671197
40016, 1737671197
2280, 1737671197
9940, 1737671197
1680, 1737671197
4400, 1737671197
1320, 1737671198
300, 1737671198
40015, 1737671198
540, 1737671198
1040, 1737671198
3600, 1737671198
800, 1737671198
980, 1737671198
260, 1737671199
40016, 1737671199
3040, 1737671199
200, 1737671199
2000, 1737671199
3300, 1737671199
980, 1737671200
980, 1737671200
40015, 1737671200
1680, 1737671200
9780, 1737671200
2200, 1737671200
8720, 1737671200
2080, 1737671200
640, 1737671201
40016, 1737671201
5540, 1737671201
3720, 1737671201
380, 1737671201
780, 1737671201
4860, 1737671201
1980, 1737671202
40015, 1737671202
1460, 1737671202
3260, 1737671202
3580, 1737671202
940, 1737671202
40, 1737671203
2780, 1737671203
3020, 1737671203
40015, 1737671203
940, 1737671203
380, 1737671203
0, 1737671204
40016, 1737671204
4100, 1737671204
2640, 1737671204
2700, 1737671204
40015, 1737671205
680, 1737671205
800, 1737671205
2780, 1737671205
320, 1737671205
660, 1737671205
240, 1737671205
5140, 1737671205
80, 1737671206
5540, 1737671206
40015, 1737671206
1860, 1737671206
3240, 1737671206
1300, 1737671206
980, 1737671207
3640, 1737671207
40016, 1737671207
2040, 1737671207
260, 1737671207
400, 1737671207
1440, 1737671207
40, 1737671207
20, 1737671208
5440, 1737671208
2520, 1737671208
40015, 1737671208
480, 1737671208
9360, 1737671209
4580, 1737671209
40016, 1737671209
580, 1737671209
220, 1737671209
2740, 1737671209
1560, 1737671210
40016, 1737671210
3000, 1737671210
1460, 1737671210
1440, 1737671210
1140, 1737671211
3940, 1737671211
560, 1737671211
40015, 1737671211
1620, 1737671211
720, 1737671211
80, 1737671212
760, 1737671212
40016, 1737671212
440, 1737671212
2860, 1737671212
760, 1737671213
20, 1737671213
5300, 1737671213
40016, 1737671213
2880, 1737671213
3720, 1737671213
320, 1737671214
40016, 1737671214
4900, 1737671214
4000, 1737671214
540, 1737671215
40016, 1737671215
3320, 1737671215
10360, 1737671215
40, 1737671215
1120, 1737671216
1560, 1737671216
40016, 1737671216
200, 1737671216
940, 1737671216
100, 1737671216
1680, 1737671217
1680, 1737671217
40016, 1737671217
1060, 1737671217
560, 1737671217
1640, 1737671218
4940, 1737671218
240, 1737671218
40015, 1737671218
60, 1737671218
3740, 1737671218
4420, 1737671218
940, 1737671218
1800, 1737671219
3440, 1737671219
60, 1737671219
1040, 1737671219
40015, 1737671219
3120, 1737671219
1540, 1737671220
1380, 1737671220
560, 1737671220
40016, 1737671220
2180, 1737671220
3500, 1737671220
100, 1737671221
1140, 1737671221
40015, 1737671221
1020, 1737671221
1020, 1737671221
940, 1737671221
6340, 1737671221
3220, 1737671222
40015, 1737671222
8480, 1737671222
940, 1737671222
2040, 1737671222
40016, 1737671223
180, 1737671223
360, 1737671224
40016, 1737671224
980, 1737671224
1840, 1737671224
1100, 1737671225
40017, 1737671225
720, 1737671225
760, 1737671225
1500, 1737671226
1020, 1737671226
40016, 1737671226
60, 1737671226
80, 1737671226
1120, 1737671226
380, 1737671226
4800, 1737671226
40015, 1737671227
6780, 1737671227
7160, 1737671227
80, 1737671228
820, 1737671228
4120, 1737671228
40016, 1737671228
860, 1737671228
120, 1737671228
2300, 1737671228
2760, 1737671229
1340, 1737671229
40016, 1737671229
1600, 1737671229
4640, 1737671229
220, 1737671230
160, 1737671230
40015, 1737671230
440, 1737671230
3440, 1737671230
880, 1737671230
1740, 1737671231
320, 1737671231
5740, 1737671231
40016, 1737671231
0, 1737671231
4260, 1737671231
1440, 1737671232
4840, 1737671232
11040, 1737671232
3780, 1737671232
40015, 1737671232
4380, 1737671232
2500, 1737671232
2480, 1737671233
2300, 1737671233
2380, 1737671233
40016, 1737671233
3520, 1737671233
240, 1737671233
320, 1737671233
760, 1737671234
860, 1737671234
40015, 1737671234
2520, 1737671234
1060, 1737671234
8860, 1737671234
4880, 1737671235
1380, 1737671235
40016, 1737671235
240, 1737671235
480, 1737671235
500, 1737671236
380, 1737671236
2160, 1737671236
40015, 1737671236
5140, 1737671236
200, 1737671236
1740, 1737671236
2620, 1737671237
40015, 1737671237
8500, 1737671238
780, 1737671238
1680, 1737671238
40016, 1737671238
2680, 1737671238
240, 1737671238
3560, 1737671239
3400, 1737671239
1780, 1737671239
40016, 1737671239
180, 1737671239
2560, 1737671239
1020, 1737671240
960, 1737671240
40016, 1737671240
1360, 1737671240
2940, 1737671240
420, 1737671241
160, 1737671241
2780, 1737671241
40015, 1737671241
2080, 1737671241
5200, 1737671242
3220, 1737671242
1760, 1737671242
40016, 1737671242
7000, 1737671242
3060, 1737671242
1160, 1737671242
40016, 1737671243
5940, 1737671243
540, 1737671244
2580, 1737671244
40016, 1737671244
1860, 1737671244
300, 1737671244
280, 1737671245
1600, 1737671245
1840, 1737671245
40015, 1737671245
700, 1737671245
240, 1737671245
1400, 1737671245
2020, 1737671246
1200, 1737671246
40015, 1737671246
1980, 1737671246
920, 1737671246
760, 1737671247
340, 1737671247
2320, 1737671247
3960, 1737671247
40016, 1737671247
3340, 1737671247
720, 1737671248
6860, 1737671248
4700, 1737671248
6140, 1737671248
40015, 1737671248
15380, 1737671248
1560, 1737671248
6520, 1737671248
3160, 1737671249
3760, 1737671249
1180, 1737671249
1520, 1737671249
40015, 1737671249
2420, 1737671249
1240, 1737671250
1660, 1737671250
40016, 1737671250
860, 1737671251
580, 1737671251
1580, 1737671251
40016, 1737671251
5220, 1737671251
300, 1737671252
1940, 1737671252
8780, 1737671252
240, 1737671252
40015, 1737671252
600, 1737671252
3220, 1737671253
4240, 1737671253
2840, 1737671253
700, 1737671253
40016, 1737671253
2420, 1737671254
1320, 1737671254
40016, 1737671254
740, 1737671254
700, 1737671255
700, 1737671255
840, 1737671255
40, 1737671255
40016, 1737671255
1400, 1737671255
440, 1737671256
1480, 1737671256
20, 1737671256
40015, 1737671256
60, 1737671256
760, 1737671257
3960, 1737671257
1880, 1737671257
40016, 1737671257
2980, 1737671257
1040, 1737671258
5940, 1737671258
40016, 1737671258
3060, 1737671259
40016, 1737671259
20, 1737671259
1800, 1737671260
2800, 1737671260
3040, 1737671260
780, 1737671260
40016, 1737671260
560, 1737671260
1880, 1737671260
460, 1737671261
6000, 1737671261
2220, 1737671261
1020, 1737671261
40015, 1737671261
220, 1737671261
220, 1737671262
40016, 1737671262
340, 1737671263
300, 1737671263
4940, 1737671263
40, 1737671263
9480, 1737671263
1020, 1737671263
40016, 1737671263
6680, 1737671263
200, 1737671264
80, 1737671264
1800, 1737671264
2620, 1737671264
440, 1737671264
4520, 1737671264
5240, 1737671264
40015, 1737671264
260, 1737671264
2440, 1737671265
2460, 1737671265
520, 1737671265
1140, 1737671265
580, 1737671265
40016, 1737671265
2680, 1737671266
820, 1737671266
740, 1737671266
40015, 1737671266
5040, 1737671267
1000, 1737671267
1780, 1737671267
3140, 1737671267
40016, 1737671267
880, 1737671268
1240, 1737671268
3240, 1737671268
3660, 1737671268
40016, 1737671268
3900, 1737671269
4960, 1737671269
3780, 1737671269
40016, 1737671269
1340, 1737671270
660, 1737671270
1960, 1737671270
40016, 1737671270
3840, 1737671271
120, 1737671271
180, 1737671271
5380, 1737671271
3920, 1737671271
740, 1737671271
40015, 1737671271
2700, 1737671271
1320, 1737671271
560, 1737671272
6080, 1737671272
760, 1737671272
40016, 1737671272
3500, 1737671272
340, 1737671273
2440, 1737671273
740, 1737671273
560, 1737671273
560, 1737671273
2500, 1737671273
40015, 1737671273
2660, 1737671274
740, 1737671274
7980, 1737671274
1400, 1737671274
40015, 1737671274
11380, 1737671274
1860, 1737671275
800, 1737671275
2120, 1737671275
2080, 1737671275
920, 1737671275
40015, 1737671275
140, 1737671275
980, 1737671276
520, 1737671276
1600, 1737671276
540, 1737671276
40016, 1737671276
