decay,time
40000, 1738098995
40000, 1738098996
40014, 1738098997
40003, 1738098998
40003, 1738098999
40005, 1738099000
40007, 1738099001
40002, 1738099002
40001, 1738099003
40008, 1738099004
40005, 1738099005
40007, 1738099006
40009, 1738099007
40004, 1738099008
40002, 1738099009
40006, 1738099010
40006, 1738099011
40007, 1738099012
40006, 1738099013
40009, 1738099014
40006, 1738099015
40005, 1738099016
40005, 1738099017
40006, 1738099018
40006, 1738099019
40003, 1738099020
40009, 1738099021
40003, 1738099022
40007, 1738099023
40005, 1738099024
40004, 1738099025
40010, 1738099026
40006, 1738099027
40004, 1738099028
40007, 1738099029
40006, 1738099030
40004, 1738099031
40005, 1738099032
40003, 1738099033
40014, 1738099034
40004, 1738099035
40008, 1738099036
40006, 1738099037
40006, 1738099038
40008, 1738099039
40006, 1738099040
40007, 1738099041
40004, 1738099042
40010, 1738099043
40008, 1738099044
40008, 1738099045
40003, 1738099046
40009, 1738099047
40005, 1738099048
40011, 1738099049
40006, 1738099050
40004, 1738099051
40003, 1738099052
40007, 1738099053
40004, 1738099054
40003, 1738099055
40004, 1738099056
40004, 1738099057
40008, 1738099058
40007, 1738099059
40007, 1738099060
40004, 1738099061
40006, 1738099062
40007, 1738099063
40008, 1738099064
40010, 1738099065
40006, 1738099066
40005, 1738099067
40009, 1738099068
40011, 1738099069
40005, 1738099070
40006, 1738099071
40006, 1738099072
40007, 1738099073
40006, 1738099074
40007, 1738099075
40005, 1738099076
40007, 1738099077
40008, 1738099078
40005, 1738099079
40006, 1738099080
40007, 1738099081
40004, 1738099082
40004, 1738099083
40004, 1738099084
40007, 1738099085
40008, 1738099086
40007, 1738099087
40002, 1738099088
40004, 1738099089
40010, 1738099090
40004, 1738099091
40005, 1738099092
40006, 1738099093
40009, 1738099094
40006, 1738099095
40010, 1738099096
40003, 1738099097
40006, 1738099098
40006, 1738099099
40003, 1738099100
40005, 1738099101
40011, 1738099102
40005, 1738099103
40006, 1738099104
40007, 1738099105
40001, 1738099106
40005, 1738099107
40004, 1738099108
40003, 1738099109
40005, 1738099110
40007, 1738099111
40007, 1738099112
1340, 1738099113
40006, 1738099114
40005, 1738099115
40008, 1738099116
40003, 1738099117
40002, 1738099118
40010, 1738099119
40002, 1738099120
40006, 1738099121
40004, 1738099122
40006, 1738099123
40007, 1738099124
40005, 1738099125
40005, 1738099126
40004, 1738099127
40006, 1738099128
40006, 1738099129
40006, 1738099130
40010, 1738099131
440, 1738099131
40005, 1738099132
40006, 1738099133
40004, 1738099134
40005, 1738099135
40007, 1738099136
40005, 1738099137
40008, 1738099138
40001, 1738099139
40004, 1738099140
40004, 1738099141
40004, 1738099142
2480, 1738099142
40005, 1738099143
40002, 1738099144
40008, 1738099145
40005, 1738099146
40004, 1738099147
40007, 1738099148
40005, 1738099149
40007, 1738099150
40006, 1738099151
40005, 1738099152
40009, 1738099153
40007, 1738099154
40005, 1738099155
40005, 1738099156
40011, 1738099157
40006, 1738099158
40004, 1738099159
40004, 1738099160
40007, 1738099161
40005, 1738099162
40006, 1738099163
40006, 1738099164
40002, 1738099165
40005, 1738099166
40004, 1738099167
40009, 1738099168
40008, 1738099169
40008, 1738099170
40008, 1738099171
40005, 1738099172
40005, 1738099173
40003, 1738099174
40008, 1738099175
40006, 1738099176
40011, 1738099177
40009, 1738099178
40003, 1738099179
40005, 1738099180
6560, 1738099180
